name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,extracurricular_activities,companies_worked,interpersonal_skills,Criteria_Label
Rohan,9,"Financial Modeling, Tableau, Process Improvement, Microsoft Excel, SQL, User Acceptance Testing (UAT), Project Management, Agile Methodology",MBA in Business Administration at IIT Kanpur,2016,87.04,62.0,68.95,each School,actually Higher Secondary School,2011,2014,"Coding Club, Music Club","Bain & Company, IBM","Teamwork, Active Listening",0
Pranav,5,"Data Visualization, Use Case Analysis, Requirements Gathering, Project Management, SWOT Analysis, User Acceptance Testing (UAT), Gap Analysis, Risk Analysis",BBA in Business Administration at IIFT Delhi,2004,85.06,76.82,93.11,close School,deal Higher Secondary School,2001,2001,"Literary Club, Art Club, Chess Club, Community Service","McKinsey & Company, Accenture, Microsoft","Active Listening, Leadership, Decision Making",1
Diya,4,"Project Management, Business Intelligence, Financial Modeling, Requirements Gathering, Data Visualization, Agile Methodology, Market Research, Stakeholder Management",BBA in Business Administration at Jawaharlal Nehru University,2006,72.46,86.21,79.94,live School,visit Higher Secondary School,2001,2003,"Language Club, Music Club, Robotics Club, Art Club, Coding Club","Ernst & Young, McKinsey & Company","Conflict Resolution, Persuasion, Active Listening, Negotiation",0
Yash,10,"Tableau, Power BI, Market Research, Data Analysis, Financial Modeling, Use Case Analysis, Stakeholder Management, Agile Methodology",MBA in Business Administration at IIM Calcutta,2020,82.44,62.03,84.71,here School,down Higher Secondary School,2017,2018,"Art Club, Robotics Club, Chess Club, Debate Club",McKinsey & Company,"Problem-solving, Negotiation",0
Diya,4,"Microsoft Excel, Data Visualization, Use Case Analysis, Gap Analysis, Agile Methodology, User Acceptance Testing (UAT), Data Analysis, Financial Modeling",B.Com in Business Administration at IIFT Delhi,2017,89.48,69.54,66.81,set School,choose Higher Secondary School,2014,2014,Chess Club,"Google, Goldman Sachs","Leadership, Creativity, Negotiation",0
Ravi,8,"Agile Methodology, SWOT Analysis, Use Case Analysis, Market Research, Project Management, Data Visualization, Tableau, Requirements Gathering",PGDM in Business Administration at NIT Warangal,2008,61.44,94.16,88.65,attorney School,position Higher Secondary School,2006,2004,"Music Club, Science Club, Debate Club, Robotics Club, Community Service",Google,"Conflict Resolution, Creativity, Empathy",0
Aarav,2,"Process Improvement, Gap Analysis, Tableau, Use Case Analysis, Financial Modeling, SQL, Data Analysis, Requirements Gathering",MBA in Business Administration at IIM Bangalore,2022,85.67,66.63,80.72,everyone School,through Higher Secondary School,2020,2019,Science Club,"Deloitte, BCG, Google","Creativity, Problem-solving, Conflict Resolution",0
Ishita,2,"Risk Analysis, Microsoft Excel, Agile Methodology, Use Case Analysis, Process Improvement, User Acceptance Testing (UAT), Business Intelligence, SQL",MBA in Business Administration at Delhi University,2000,75.31,84.0,81.37,public School,add Higher Secondary School,1995,1996,Literary Club,"TCS, Ernst & Young, Bain & Company","Persuasion, Conflict Resolution, Teamwork, Decision Making",0
Pranav,3,"Process Improvement, Data Visualization, Requirements Gathering, Project Management, Agile Methodology, SWOT Analysis, Microsoft Excel, Risk Analysis",BBA in Business Administration at IIT Kanpur,2019,68.35,71.49,92.28,list School,to Higher Secondary School,2015,2018,,"Microsoft, Apple, Infosys","Teamwork, Conflict Resolution, Time Management, Leadership",0
Aarav,4,"Risk Analysis, Microsoft Excel, Agile Methodology, Gap Analysis, Process Improvement, Market Research, SQL, Project Management",MBA in Business Administration at IIM Ahmedabad,2015,84.68,62.01,93.03,threat School,mind Higher Secondary School,2012,2014,Chess Club,Infosys,"Communication, Persuasion",0
Kiran,8,"Stakeholder Management, Financial Modeling, Requirements Gathering, Process Improvement, Microsoft Excel, Business Intelligence, Market Research, Agile Methodology",BBA in Business Administration at IIM Ahmedabad,2013,68.81,89.88,60.81,her School,owner Higher Secondary School,2008,2011,"Drama Club, Community Service","BCG, KPMG, Facebook","Empathy, Problem-solving, Negotiation, Conflict Resolution, Creativity",0
Sanya,4,"Requirements Gathering, Use Case Analysis, Financial Modeling, Data Analysis, Power BI, Gap Analysis, SQL, Data Visualization",BBA in Business Administration at IIT Kanpur,2004,64.72,71.49,83.92,training School,protect Higher Secondary School,1999,2003,,"Infosys, Facebook, Ernst & Young","Problem-solving, Leadership",0
Pranav,8,"Gap Analysis, Stakeholder Management, User Acceptance Testing (UAT), Data Analysis, Requirements Gathering, Data Visualization, Agile Methodology, Use Case Analysis",MBA in Business Administration at IIM Bangalore,2019,85.89,83.6,71.16,hour School,money Higher Secondary School,2016,2016,,Deloitte,"Persuasion, Negotiation, Problem-solving, Decision Making, Time Management",1
Arjun,2,"Project Management, Agile Methodology, Requirements Gathering, User Acceptance Testing (UAT), Data Visualization, SQL, Risk Analysis, Use Case Analysis",MBA in Business Administration at IIT Kharagpur,2002,61.44,66.28,81.47,person School,Mr Higher Secondary School,1997,1998,"Drama Club, Literary Club, Science Club","PwC, Bain & Company, Amazon","Adaptability, Conflict Resolution",0
Ishika,1,"Project Management, Risk Analysis, Use Case Analysis, Agile Methodology, Requirements Gathering, Gap Analysis, Data Visualization, Business Intelligence",BBA in Business Administration at NIT Warangal,2009,87.99,79.93,70.59,commercial School,take Higher Secondary School,2005,2006,"Language Club, Student Government","Amazon, Infosys, PwC","Communication, Adaptability, Problem-solving, Persuasion, Time Management",0
Anaya,15,"Process Improvement, Business Intelligence, Tableau, Requirements Gathering, Stakeholder Management, Risk Analysis, Agile Methodology, Microsoft Excel",PGDM in Business Administration at IIT Delhi,2004,75.66,76.91,92.13,project School,daughter Higher Secondary School,2002,2000,Language Club,BCG,"Conflict Resolution, Problem-solving",1
Pranav,15,"Data Visualization, Agile Methodology, Risk Analysis, Business Intelligence, User Acceptance Testing (UAT), Tableau, Microsoft Excel, Requirements Gathering",BBA in Business Administration at IIT Madras,2005,64.54,93.38,84.28,everyone School,quickly Higher Secondary School,2002,2003,"Volunteering, Literary Club",Google,"Time Management, Conflict Resolution, Communication, Creativity, Problem-solving",0
Yash,8,"Process Improvement, Business Intelligence, Requirements Gathering, SQL, Gap Analysis, Microsoft Excel, Tableau, Data Visualization",MBA in Business Administration at IIM Ahmedabad,2009,67.97,94.92,91.13,thus School,anyone Higher Secondary School,2006,2008,"Chess Club, Debate Club, Art Club",Accenture,"Teamwork, Leadership",0
Diya,10,"Data Analysis, Tableau, Use Case Analysis, Requirements Gathering, Process Improvement, SWOT Analysis, SQL, Market Research",MBA in Business Administration at IIM Bangalore,2006,65.49,82.8,75.4,media School,life Higher Secondary School,2002,2003,,"Facebook, Accenture","Negotiation, Problem-solving",0
Pranav,5,"Use Case Analysis, Power BI, Business Intelligence, Financial Modeling, Agile Methodology, SQL, Requirements Gathering, User Acceptance Testing (UAT)",PGDM in Business Administration at Jawaharlal Nehru University,2020,85.07,85.99,62.38,music School,full Higher Secondary School,2017,2016,Coding Club,"PwC, Google, Amazon","Adaptability, Conflict Resolution, Teamwork, Problem-solving, Time Management",0
Diya,5,"Risk Analysis, Use Case Analysis, Project Management, Tableau, Requirements Gathering, Stakeholder Management, Business Intelligence, SQL",PGDM in Business Administration at IIT Bombay,2009,65.88,87.68,84.54,process School,watch Higher Secondary School,2006,2008,"Language Club, Drama Club, Community Service, Music Club","TCS, Amazon, PwC","Problem-solving, Empathy, Conflict Resolution, Persuasion",0
Arjun,13,"Agile Methodology, Gap Analysis, SWOT Analysis, User Acceptance Testing (UAT), Project Management, Process Improvement, Risk Analysis, Data Visualization",MBA in Business Administration at IIFT Delhi,2009,76.38,60.68,67.57,food School,material Higher Secondary School,2004,2007,"Coding Club, Sports, Student Government","Oracle, Ernst & Young, Goldman Sachs","Conflict Resolution, Active Listening, Empathy, Teamwork, Time Management",0
Anaya,6,"Project Management, SWOT Analysis, Financial Modeling, Power BI, Microsoft Excel, Data Analysis, User Acceptance Testing (UAT), Risk Analysis",PGDM in Business Administration at IIT Roorkee,2017,90.61,61.84,72.43,charge School,degree Higher Secondary School,2014,2016,"Music Club, Robotics Club, Literary Club, Coding Club",TCS,"Problem-solving, Creativity",0
Neha,3,"SWOT Analysis, Agile Methodology, Project Management, Process Improvement, Requirements Gathering, Data Analysis, Microsoft Excel, Gap Analysis",MBA in Business Administration at IIT Delhi,2005,85.33,90.45,77.43,shake School,minute Higher Secondary School,2003,2001,Student Government,"BCG, Facebook","Empathy, Time Management",0
Rahul,4,"Stakeholder Management, Business Intelligence, Data Visualization, Power BI, Market Research, Process Improvement, Use Case Analysis, SQL",B.Com in Business Administration at IIM Calcutta,2017,72.71,83.51,65.68,law School,mention Higher Secondary School,2012,2015,"Volunteering, Language Club, Debate Club, Student Government","Bain & Company, Goldman Sachs, Ernst & Young","Persuasion, Active Listening, Empathy, Time Management, Conflict Resolution",0
Sanya,9,"Risk Analysis, SWOT Analysis, Microsoft Excel, Tableau, Data Analysis, SQL, User Acceptance Testing (UAT), Financial Modeling",MBA in Business Administration at IIT Bombay,2011,84.41,72.04,72.24,improve School,remember Higher Secondary School,2007,2008,Art Club,Goldman Sachs,"Communication, Problem-solving, Empathy, Leadership",1
Kiran,9,"Financial Modeling, SQL, Agile Methodology, Risk Analysis, Project Management, Process Improvement, Tableau, Gap Analysis",BBA in Business Administration at IIFT Delhi,2019,80.29,86.62,89.95,development School,just Higher Secondary School,2014,2017,Science Club,"Facebook, McKinsey & Company, IBM","Adaptability, Persuasion",1
Vikram,15,"SQL, Microsoft Excel, Gap Analysis, Agile Methodology, Tableau, Power BI, Market Research, Data Analysis",B.Com in Business Administration at IIFT Delhi,2008,60.85,76.06,82.42,decide School,design Higher Secondary School,2003,2006,"Coding Club, Music Club","Goldman Sachs, Oracle","Adaptability, Communication, Active Listening",0
Aisha,11,"Microsoft Excel, Stakeholder Management, Business Intelligence, Data Analysis, Financial Modeling, Risk Analysis, Requirements Gathering, User Acceptance Testing (UAT)",MBA in Business Administration at IIM Lucknow,2001,90.99,71.35,63.27,house School,citizen Higher Secondary School,1997,1998,"Coding Club, Chess Club, Drama Club",Oracle,"Adaptability, Persuasion",0
Neha,6,"User Acceptance Testing (UAT), Data Visualization, Agile Methodology, Stakeholder Management, SWOT Analysis, Requirements Gathering, Financial Modeling, Risk Analysis",MBA in Business Administration at Anna University,2014,62.82,66.01,73.2,big School,across Higher Secondary School,2011,2010,"Art Club, Music Club",Infosys,"Empathy, Time Management, Teamwork",0
Sanya,3,"Gap Analysis, Data Visualization, Process Improvement, Tableau, Stakeholder Management, Business Intelligence, Financial Modeling, Project Management",PGDM in Business Administration at IIT Roorkee,2010,76.42,70.81,68.81,song School,recently Higher Secondary School,2007,2008,,Deloitte,"Time Management, Negotiation, Adaptability, Empathy",0
Diya,13,"Project Management, Agile Methodology, Risk Analysis, Requirements Gathering, Market Research, SQL, Power BI, Gap Analysis",MBA in Business Administration at IIM Lucknow,2014,88.93,67.46,91.35,medical School,for Higher Secondary School,2009,2013,"Coding Club, Language Club, Community Service, Robotics Club",Ernst & Young,"Empathy, Negotiation, Active Listening, Adaptability, Teamwork",0
Mira,1,"Microsoft Excel, SWOT Analysis, User Acceptance Testing (UAT), Data Analysis, Market Research, Use Case Analysis, Data Visualization, Stakeholder Management",BBA in Business Administration at IIT Roorkee,2006,93.57,60.1,60.46,challenge School,several Higher Secondary School,2003,2003,"Music Club, Language Club, Literary Club, Science Club",Oracle,"Time Management, Creativity, Leadership, Problem-solving",0
Ishita,10,"Tableau, Use Case Analysis, Gap Analysis, User Acceptance Testing (UAT), Market Research, Requirements Gathering, Data Analysis, Stakeholder Management",PGDM in Business Administration at IIT Delhi,2012,91.16,88.29,76.26,sit School,face Higher Secondary School,2009,2009,Chess Club,"Ernst & Young, BCG","Decision Making, Active Listening, Problem-solving, Communication, Teamwork",1
Ishika,4,"Power BI, Gap Analysis, Financial Modeling, Data Analysis, Stakeholder Management, Requirements Gathering, Process Improvement, SQL",PGDM in Business Administration at NIT Warangal,2006,62.43,82.52,90.42,financial School,ground Higher Secondary School,2003,2004,"Sports, Music Club, Language Club",Facebook,"Creativity, Teamwork",0
Vikram,12,"SWOT Analysis, Microsoft Excel, Data Analysis, SQL, Tableau, Market Research, Process Improvement, Agile Methodology",MBA in Business Administration at IIM Bangalore,2020,70.21,71.6,64.5,fast School,bar Higher Secondary School,2016,2016,"Community Service, Language Club, Sports","Microsoft, TCS, Goldman Sachs","Empathy, Leadership, Adaptability, Problem-solving, Creativity",0
Diya,14,"User Acceptance Testing (UAT), Agile Methodology, Market Research, Process Improvement, Use Case Analysis, Project Management, Stakeholder Management, Data Analysis",PGDM in Business Administration at IIM Bangalore,2002,65.55,61.06,74.53,give School,party Higher Secondary School,1997,1998,"Robotics Club, Language Club, Sports, Music Club","TCS, Apple, Goldman Sachs","Leadership, Active Listening, Problem-solving, Empathy, Decision Making",0
Vikram,10,"Agile Methodology, Requirements Gathering, Data Analysis, Microsoft Excel, Stakeholder Management, Tableau, Use Case Analysis, SQL",PGDM in Business Administration at Anna University,2010,73.8,86.03,76.6,note School,region Higher Secondary School,2007,2006,"Robotics Club, Language Club","Microsoft, Deloitte, TCS","Problem-solving, Decision Making",1
Varun,13,"Market Research, Financial Modeling, Data Visualization, SWOT Analysis, Power BI, Microsoft Excel, User Acceptance Testing (UAT), Process Improvement",BBA in Business Administration at IIM Ahmedabad,2006,79.31,87.09,94.34,field School,them Higher Secondary School,2003,2002,"Student Government, Community Service, Robotics Club",KPMG,"Communication, Decision Making, Leadership",1
Arjun,13,"Tableau, Power BI, SQL, Financial Modeling, User Acceptance Testing (UAT), Data Analysis, Agile Methodology, Business Intelligence",MBA in Business Administration at BITS Pilani,2022,87.42,90.79,93.56,tough School,use Higher Secondary School,2018,2019,"Volunteering, Robotics Club, Chess Club, Debate Club, Music Club","KPMG, PwC, Google","Active Listening, Conflict Resolution, Leadership, Decision Making",1
Pranav,7,"Process Improvement, Agile Methodology, User Acceptance Testing (UAT), SQL, Requirements Gathering, Data Analysis, Business Intelligence, SWOT Analysis",MBA in Business Administration at IIM Bangalore,2022,60.84,85.63,73.62,especially School,bag Higher Secondary School,2019,2019,"Science Club, Student Government, Coding Club, Art Club","KPMG, Microsoft, Ernst & Young","Teamwork, Time Management, Leadership, Decision Making, Empathy",0
Mira,9,"Agile Methodology, Stakeholder Management, Data Analysis, User Acceptance Testing (UAT), Requirements Gathering, Power BI, Tableau, Risk Analysis",B.Com in Business Administration at IIM Bangalore,2004,71.12,91.25,62.51,fight School,born Higher Secondary School,2001,2003,"Language Club, Debate Club, Literary Club, Community Service, Music Club","KPMG, Apple, BCG","Adaptability, Negotiation",0
Rahul,4,"Process Improvement, Stakeholder Management, User Acceptance Testing (UAT), Risk Analysis, Microsoft Excel, Business Intelligence, Requirements Gathering, Tableau",B.Com in Business Administration at IIT Madras,2017,72.12,90.19,86.82,north School,trial Higher Secondary School,2015,2013,"Sports, Art Club, Volunteering","Amazon, McKinsey & Company, KPMG","Persuasion, Problem-solving",0
Mira,7,"Data Analysis, Risk Analysis, SWOT Analysis, Agile Methodology, Market Research, Microsoft Excel, Gap Analysis, Data Visualization",B.Com in Business Administration at IIM Calcutta,2018,91.8,73.5,91.54,morning School,maybe Higher Secondary School,2015,2017,"Drama Club, Music Club, Science Club, Community Service, Sports",TCS,"Teamwork, Decision Making",1
Ravi,7,"SQL, Requirements Gathering, SWOT Analysis, Stakeholder Management, Tableau, Business Intelligence, Power BI, Use Case Analysis",BBA in Business Administration at NIT Warangal,2012,71.19,82.27,82.57,ten School,organization Higher Secondary School,2008,2008,"Science Club, Drama Club, Chess Club, Debate Club, Student Government","Goldman Sachs, PwC","Teamwork, Problem-solving, Persuasion",1
Rahul,12,"Agile Methodology, Process Improvement, Microsoft Excel, Requirements Gathering, Financial Modeling, Gap Analysis, Use Case Analysis, User Acceptance Testing (UAT)",BBA in Business Administration at IIT Bombay,2001,62.56,75.12,68.18,campaign School,doctor Higher Secondary School,1996,1999,"Literary Club, Community Service, Coding Club","McKinsey & Company, KPMG","Persuasion, Communication, Creativity, Active Listening",0
Varun,3,"Tableau, Requirements Gathering, Market Research, Data Visualization, Agile Methodology, Risk Analysis, Project Management, Business Intelligence",MBA in Business Administration at IIM Lucknow,2011,92.39,88.57,62.1,science School,course Higher Secondary School,2007,2010,"Community Service, Language Club",Apple,"Negotiation, Active Listening, Teamwork, Persuasion, Creativity",0
Anaya,13,"Data Visualization, Agile Methodology, Business Intelligence, Gap Analysis, Process Improvement, Financial Modeling, Data Analysis, Microsoft Excel",BBA in Business Administration at IIT Madras,2004,64.21,61.83,74.65,allow School,yet Higher Secondary School,2001,2002,,"Accenture, Bain & Company","Problem-solving, Empathy",0
Ishita,2,"Tableau, Financial Modeling, Stakeholder Management, Market Research, Project Management, Gap Analysis, Power BI, Data Visualization",BBA in Business Administration at IIFT Delhi,2010,90.05,92.58,94.07,born School,meet Higher Secondary School,2005,2007,,"BCG, Deloitte, Apple","Persuasion, Problem-solving, Teamwork, Negotiation, Leadership",0
Sanya,7,"SWOT Analysis, Process Improvement, Market Research, Microsoft Excel, Business Intelligence, SQL, Financial Modeling, Agile Methodology",BBA in Business Administration at Anna University,2022,69.43,92.22,78.75,eye School,study Higher Secondary School,2017,2020,Sports,Goldman Sachs,"Adaptability, Creativity, Problem-solving, Active Listening",0
Anaya,6,"Stakeholder Management, Business Intelligence, Requirements Gathering, Microsoft Excel, Data Analysis, Process Improvement, Use Case Analysis, Risk Analysis",B.Com in Business Administration at IISc Bangalore,2009,68.59,69.54,76.43,world School,dog Higher Secondary School,2006,2007,Student Government,"TCS, Ernst & Young, KPMG","Decision Making, Empathy, Problem-solving",0
Ravi,5,"Data Analysis, Risk Analysis, Data Visualization, Requirements Gathering, Project Management, User Acceptance Testing (UAT), Business Intelligence, SQL",PGDM in Business Administration at Jawaharlal Nehru University,2019,92.25,69.55,76.6,would School,road Higher Secondary School,2014,2016,"Literary Club, Coding Club, Robotics Club, Chess Club, Music Club","Facebook, IBM","Leadership, Communication",0
Arjun,11,"Data Analysis, Project Management, Use Case Analysis, Stakeholder Management, Risk Analysis, Requirements Gathering, SWOT Analysis, Gap Analysis",PGDM in Business Administration at Delhi University,2010,71.55,65.26,66.2,well School,community Higher Secondary School,2006,2008,,PwC,"Time Management, Active Listening, Communication",0
Vikram,10,"Financial Modeling, Project Management, Use Case Analysis, Stakeholder Management, SWOT Analysis, Microsoft Excel, Data Visualization, Data Analysis",B.Com in Business Administration at IIT Kharagpur,2018,88.26,72.64,77.71,million School,hundred Higher Secondary School,2014,2015,,TCS,"Conflict Resolution, Empathy, Time Management, Creativity, Communication",1
Ishika,11,"Business Intelligence, Data Analysis, Project Management, Process Improvement, Risk Analysis, Gap Analysis, Agile Methodology, SWOT Analysis",BBA in Business Administration at IIT Kanpur,2006,76.56,78.68,73.56,key School,still Higher Secondary School,2003,2002,,"IBM, Bain & Company","Leadership, Teamwork, Conflict Resolution, Active Listening",1
Kiran,1,"Use Case Analysis, Risk Analysis, Tableau, Market Research, Stakeholder Management, Project Management, SQL, Gap Analysis",MBA in Business Administration at IIT Roorkee,2005,80.43,90.87,76.06,why School,check Higher Secondary School,2001,2001,Community Service,Apple,"Time Management, Teamwork",0
Yash,12,"Gap Analysis, Data Visualization, Agile Methodology, Business Intelligence, Project Management, Financial Modeling, Power BI, Use Case Analysis",B.Com in Business Administration at IISc Bangalore,2018,86.09,86.57,61.83,strategy School,behind Higher Secondary School,2013,2017,"Community Service, Science Club, Literary Club, Volunteering, Chess Club","Oracle, Bain & Company","Active Listening, Creativity, Negotiation, Problem-solving",0
Ishita,15,"Financial Modeling, Power BI, Stakeholder Management, Data Analysis, Business Intelligence, Data Visualization, Agile Methodology, Use Case Analysis",MBA in Business Administration at Delhi University,2022,93.78,92.42,94.91,national School,hit Higher Secondary School,2018,2021,"Science Club, Sports, Debate Club, Chess Club","Goldman Sachs, KPMG, IBM","Leadership, Teamwork, Time Management, Persuasion, Problem-solving",1
Varun,15,"Gap Analysis, Use Case Analysis, Financial Modeling, Data Visualization, SQL, Project Management, Process Improvement, Microsoft Excel",MBA in Business Administration at IIM Calcutta,2001,92.54,82.05,72.71,training School,plant Higher Secondary School,1996,1999,"Volunteering, Science Club, Drama Club","Goldman Sachs, Accenture","Creativity, Active Listening, Teamwork",1
Aryan,0,"Gap Analysis, Risk Analysis, Tableau, Requirements Gathering, Data Analysis, Process Improvement, Power BI, SQL",B.Com in Business Administration at IISc Bangalore,2000,64.28,71.91,68.22,follow School,risk Higher Secondary School,1997,1996,"Music Club, Community Service","Infosys, Bain & Company, Google","Conflict Resolution, Active Listening, Adaptability, Creativity, Negotiation",0
Anaya,4,"Requirements Gathering, Risk Analysis, Power BI, SQL, Tableau, Agile Methodology, SWOT Analysis, Project Management",B.Com in Business Administration at IIT Madras,2002,86.21,76.78,65.51,wonder School,team Higher Secondary School,2000,1998,"Robotics Club, Art Club, Sports, Student Government","Microsoft, Accenture","Time Management, Active Listening, Empathy, Persuasion",0
Sanya,0,"User Acceptance Testing (UAT), Business Intelligence, Financial Modeling, Power BI, Process Improvement, Use Case Analysis, Market Research, Stakeholder Management",MBA in Business Administration at IIT Madras,2012,84.27,93.97,63.68,international School,pull Higher Secondary School,2009,2009,"Debate Club, Student Government, Art Club, Music Club",Infosys,"Leadership, Teamwork",0
Aarav,0,"Agile Methodology, Project Management, Business Intelligence, Risk Analysis, Tableau, SWOT Analysis, Data Analysis, Financial Modeling",MBA in Business Administration at IIT Madras,2004,69.3,61.25,80.61,the School,kid Higher Secondary School,2000,2002,,"IBM, Google, Infosys","Problem-solving, Creativity",0
Rohan,13,"Use Case Analysis, Process Improvement, Gap Analysis, Agile Methodology, Project Management, Power BI, SWOT Analysis, Requirements Gathering",BBA in Business Administration at IIFT Delhi,2012,66.27,60.58,68.01,suddenly School,one Higher Secondary School,2009,2009,"Debate Club, Literary Club","PwC, Ernst & Young","Creativity, Empathy, Decision Making, Problem-solving",0
Aryan,13,"Gap Analysis, Project Management, Tableau, User Acceptance Testing (UAT), Data Analysis, Risk Analysis, SQL, Power BI",PGDM in Business Administration at IIT Roorkee,2020,78.35,72.17,88.46,number School,affect Higher Secondary School,2017,2019,"Music Club, Coding Club, Art Club",McKinsey & Company,"Leadership, Negotiation, Conflict Resolution, Communication, Decision Making",1
Sanya,15,"Business Intelligence, Use Case Analysis, SWOT Analysis, User Acceptance Testing (UAT), Tableau, Data Visualization, Microsoft Excel, Process Improvement",B.Com in Business Administration at IISc Bangalore,2015,84.0,68.39,75.45,address School,social Higher Secondary School,2011,2012,"Robotics Club, Language Club","TCS, Goldman Sachs","Persuasion, Creativity, Empathy",0
Diya,5,"Power BI, SWOT Analysis, Data Analysis, Data Visualization, Requirements Gathering, Business Intelligence, Process Improvement, Risk Analysis",B.Com in Business Administration at IIT Kharagpur,2008,60.17,87.09,81.21,again School,tell Higher Secondary School,2004,2004,"Robotics Club, Volunteering, Student Government","KPMG, Oracle, IBM","Active Listening, Communication, Adaptability",0
Varun,11,"Tableau, Microsoft Excel, Project Management, Risk Analysis, Stakeholder Management, Market Research, Power BI, Use Case Analysis",B.Com in Business Administration at IIM Ahmedabad,2007,87.91,82.76,79.67,free School,west Higher Secondary School,2003,2005,"Science Club, Student Government, Drama Club",IBM,"Decision Making, Teamwork",1
Rohan,15,"Process Improvement, Tableau, Microsoft Excel, Agile Methodology, Use Case Analysis, Project Management, Stakeholder Management, Risk Analysis",B.Com in Business Administration at IIT Roorkee,2016,88.61,71.91,91.76,play School,everyone Higher Secondary School,2013,2012,"Music Club, Community Service, Coding Club","Goldman Sachs, IBM, KPMG","Communication, Decision Making",1
Ishita,9,"Requirements Gathering, Power BI, Stakeholder Management, Use Case Analysis, Tableau, SWOT Analysis, Project Management, SQL",PGDM in Business Administration at IIT Roorkee,2016,90.79,65.2,82.94,election School,box Higher Secondary School,2013,2015,"Language Club, Community Service, Art Club",Amazon,"Communication, Time Management",0
Sanya,8,"Risk Analysis, Power BI, Stakeholder Management, Agile Methodology, Data Visualization, Business Intelligence, Data Analysis, Process Improvement",BBA in Business Administration at NIT Trichy,2007,84.6,85.12,73.77,article School,sound Higher Secondary School,2005,2005,"Community Service, Chess Club","Ernst & Young, McKinsey & Company, Facebook","Empathy, Teamwork, Problem-solving",1
Sanya,12,"Process Improvement, SWOT Analysis, Power BI, Microsoft Excel, Tableau, Financial Modeling, Agile Methodology, Requirements Gathering",B.Com in Business Administration at NIT Warangal,2006,67.53,62.49,63.23,chance School,surface Higher Secondary School,2002,2003,"Volunteering, Language Club","BCG, Oracle","Adaptability, Negotiation, Creativity, Teamwork, Communication",0
Anaya,1,"Data Visualization, User Acceptance Testing (UAT), Stakeholder Management, Microsoft Excel, Risk Analysis, Business Intelligence, SWOT Analysis, Data Analysis",PGDM in Business Administration at Anna University,2021,72.76,61.54,90.82,employee School,reality Higher Secondary School,2016,2019,"Volunteering, Community Service, Music Club","Accenture, Microsoft, BCG","Problem-solving, Time Management, Active Listening",0
Ishika,2,"Use Case Analysis, Data Visualization, Microsoft Excel, Market Research, Power BI, SQL, Project Management, Data Analysis",B.Com in Business Administration at IIT Kanpur,2007,79.55,86.16,87.04,source School,market Higher Secondary School,2005,2003,,"BCG, Microsoft, Facebook","Leadership, Active Listening, Problem-solving, Creativity, Negotiation",0
Aryan,7,"Use Case Analysis, Project Management, Agile Methodology, Market Research, Tableau, Data Visualization, Power BI, Financial Modeling",PGDM in Business Administration at IIT Delhi,2008,92.22,80.91,60.63,listen School,food Higher Secondary School,2006,2006,"Coding Club, Student Government, Science Club, Sports, Volunteering",Bain & Company,"Time Management, Persuasion",0
Anaya,5,"Data Visualization, Market Research, Use Case Analysis, Business Intelligence, Data Analysis, Agile Methodology, Microsoft Excel, Gap Analysis",BBA in Business Administration at IIFT Delhi,2012,83.53,79.57,82.29,data School,simply Higher Secondary School,2009,2008,"Volunteering, Debate Club","Accenture, IBM","Leadership, Active Listening, Teamwork",1
Ishika,3,"Data Visualization, Use Case Analysis, Agile Methodology, Data Analysis, Business Intelligence, Stakeholder Management, Market Research, Requirements Gathering",PGDM in Business Administration at IIT Kanpur,2020,89.51,82.21,72.13,industry School,foot Higher Secondary School,2017,2019,,"TCS, PwC, Deloitte","Persuasion, Adaptability",0
Aditi,11,"Agile Methodology, Project Management, Market Research, Requirements Gathering, Microsoft Excel, SQL, Data Visualization, Financial Modeling",B.Com in Business Administration at IIM Bangalore,2006,87.38,69.65,72.0,site School,likely Higher Secondary School,2004,2003,"Chess Club, Science Club, Student Government, Coding Club, Community Service",BCG,"Time Management, Empathy",0
Rahul,0,"Stakeholder Management, Project Management, User Acceptance Testing (UAT), Requirements Gathering, Process Improvement, Business Intelligence, Gap Analysis, SWOT Analysis",PGDM in Business Administration at IIT Roorkee,2013,68.02,74.95,84.13,plan School,bit Higher Secondary School,2009,2010,,Google,"Negotiation, Problem-solving",0
Ishika,4,"Stakeholder Management, Risk Analysis, Financial Modeling, SWOT Analysis, Requirements Gathering, Data Visualization, Power BI, Market Research",PGDM in Business Administration at Jawaharlal Nehru University,2007,84.4,90.11,76.49,your School,magazine Higher Secondary School,2005,2004,"Community Service, Coding Club, Volunteering","Deloitte, BCG, Google","Active Listening, Problem-solving, Negotiation",0
Ravi,10,"Risk Analysis, Use Case Analysis, Process Improvement, Data Visualization, Gap Analysis, Power BI, Tableau, Data Analysis",BBA in Business Administration at IIM Lucknow,2006,60.91,73.81,66.72,fact School,believe Higher Secondary School,2003,2002,Science Club,"Google, BCG","Time Management, Creativity, Teamwork, Communication, Leadership",0
